SeletionSort-Cresc,SeletionSort-Decresc,SeletionSort-Aleatorio,
0,0,0,
2,3,3,
5,6,7,
9,11,11,
14,16,17,
20,23,24,
27,30,31,
35,39,41,
44,48,49,
54,59,61,
65,70,74,
77,83,80,
90,96,101,
104,111,116,
119,126,133,
135,143,147,
152,160,166,
170,179,185,
189,198,206,
209,219,225,
230,240,247,
252,263,268,
275,286,296,
299,311,319,
324,336,345,
350,363,374,
377,390,398,
405,419,432,
434,448,459,
464,479,490,
495,510,524,
527,543,555,
560,576,586,
594,611,625,
629,646,661,
665,683,696,
702,720,735,
740,759,773,
779,798,814,
819,839,856,
860,880,897,
902,923,937,
945,966,983,
989,1011,1028,
1034,1056,1073,
1080,1103,1122,
1127,1150,1171,
1175,1199,1217,
1224,1248,1264,
1274,1299,1322,
1325,1350,1374,
1377,1403,1421,
1430,1456,1477,
1484,1511,1535,
1539,1566,1590,
1595,1623,1647,
1652,1680,1701,
1710,1739,1762,
1769,1798,1820,
1829,1859,1885,
1890,1920,1947,
1952,1983,2010,
2015,2046,2072,
2079,2111,2139,
2144,2176,2204,
2210,2243,2271,
2277,2310,2338,
2345,2379,2410,
2414,2448,2476,
2484,2519,2550,
2555,2590,2622,
2627,2663,2697,
2700,2736,2768,
2774,2811,2840,
2849,2886,2915,
2925,2963,2996,
3002,3040,3076,
3080,3119,3152,
3159,3198,3236,
3239,3279,3316,
3320,3360,3397,
3402,3443,3481,
3485,3526,3559,
3569,3611,3648,
3654,3696,3734,
3740,3783,3820,
3827,3870,3909,
3915,3959,3996,
4004,4048,4087,
4094,4139,4179,
4185,4230,4272,
4277,4323,4364,
4370,4416,4457,
4464,4511,4551,
4559,4606,4652,
4655,4703,4746,
4752,4800,4841,
4850,4899,4944,
4949,4998,5040,
5049,5099,5143,
